artist_name	artist_image	spotify_url
AEQUOREA	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/65VAnXTAgqJLmVFun8pf7g
AFI	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/19I4tYiChJoxEO5EuviXpz
AGVIRRE	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/39rXLJ1vC0vZ7eCC4BpLiI
AINSOPH	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/0e0319wmfiSMs8nnLYarVx
AJJ	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/4IDpDJIDfK96HMLD4Tphyl
AKTHESAVIOR	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/1RlBttuJAY33jcaL1TOlUw
ALHAMBRA		https://open.spotify.com/artist/0FX38SG8cs60Fd3TKBvmuu
ALHAMBRA	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/0FX38SG8cs60Fd3TKBvmuu
ARKA'N	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR
ASHES dIVIDE	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/7cNHQN4eCc7nud8htPxHBy
ASYLUM EFFECT	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/3lGWJlD6eRAluOwypaGlND
ATEEZ	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/68KmkJeZGfwe1OUaivBa2L
ATLVS	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/5N4dLggbLKLGVWdlY2o0GA
AWOLNATION	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/4njdEjTnLfcGImKZu1iSrz
Aara	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/3ZpEKRjHaHANcpk10u6Ntq
Aaron Carter	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/5338fdSzGNOFD4cxAxDTeq
Aaron Copland	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/0nJvyjVTb8sAULPYyA1bqU
Aaron Taos	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/3AcBSoCVhxILXJnfLcJb66
Aaron Tveit	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/68h2f0WXn4zEctSgNYozXx
Abandoned Pools	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/0OSw9it2MM9CxLC6WOhgEd
Abdel Halim Hafez	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/6IW026WCYU8L1WF79dfwss
Abdul Menaem Al Ameri		https://open.spotify.com/artist/3XAvwLzeELEKr7yLvq39WT
Abhijith. P. S. Nair		https://open.spotify.com/artist/6fEN8syfWB87Ak6A4AA7Kv
Abigail's Ghost	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/4jVT4HAfl4uKEyiSJdtSuq
Abraham	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/48TgUBJMEZffGLQqiLpyxH
Abraham Sarache	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/48TgUBJMEZffGLQqiLpyxH
Abrams	https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png	https://open.spotify.com/artist/4tuJ0bMpJh08umKkEXKUI5
